FS,FE,Classifier,fold,accuracy,macro_f1,weighted_f1
ANOVA,None,CAT,5,0.9153,0.7386,0.9007
ANOVA,None,STACK,1,0.9137,0.7364,0.9011
ANOVA,None,STACK,2,0.913,0.745,0.9025
ANOVA,None,STACK,3,0.9172,0.7483,0.9072
ANOVA,None,STACK,4,0.924,0.7375,0.9102
ANOVA,None,STACK,5,0.9593,0.7812,0.9394
ANOVA,PCA,DT,1,0.844,0.6582,0.8275
ANOVA,PCA,DT,2,0.8407,0.6689,0.8277
ANOVA,PCA,DT,3,0.8322,0.6757,0.8237
ANOVA,PCA,DT,4,0.8144,0.6449,0.7994
ANOVA,PCA,DT,5,0.8461,0.6698,0.8286
ANOVA,PCA,LR,1,0.83,0.6611,0.8175
ANOVA,PCA,LR,2,0.8405,0.6747,0.8339
ANOVA,PCA,LR,3,0.8569,0.6767,0.8468
ANOVA,PCA,LR,4,0.8355,0.6702,0.8236
ANOVA,PCA,LR,5,0.8397,0.659,0.82
ANOVA,PCA,KNN,1,0.8829,0.7112,0.8669
ANOVA,PCA,KNN,2,0.865,0.6843,0.8515
ANOVA,PCA,KNN,3,0.8577,0.6922,0.8503
ANOVA,PCA,KNN,4,0.8991,0.7288,0.8922
ANOVA,PCA,KNN,5,0.8669,0.6969,0.8578
ANOVA,PCA,NB,1,0.7346,0.5677,0.7299
ANOVA,PCA,NB,2,0.7557,0.5722,0.7421
ANOVA,PCA,NB,3,0.7386,0.5723,0.7292
ANOVA,PCA,NB,4,0.7271,0.5685,0.7232
ANOVA,PCA,NB,5,0.7438,0.5747,0.7308
ANOVA,PCA,SVM,1,0.8335,0.6562,0.8186
ANOVA,PCA,SVM,2,0.8353,0.6611,0.8193
ANOVA,PCA,SVM,3,0.8214,0.6506,0.8126
ANOVA,PCA,SVM,4,0.8295,0.6558,0.8107
ANOVA,PCA,SVM,5,0.8173,0.6587,0.8143
ANOVA,PCA,RF,1,0.8926,0.7162,0.8839
ANOVA,PCA,RF,2,0.9054,0.7365,0.8951
ANOVA,PCA,RF,3,0.8908,0.7122,0.8738
ANOVA,PCA,RF,4,0.9037,0.734,0.897
ANOVA,PCA,RF,5,0.8865,0.7258,0.8789
ANOVA,PCA,ET,1,0.9017,0.734,0.8875
ANOVA,PCA,ET,2,0.9051,0.7258,0.8941
ANOVA,PCA,ET,3,0.9155,0.7352,0.9009
ANOVA,PCA,ET,4,0.9022,0.7369,0.8861
ANOVA,PCA,ET,5,0.8648,0.7099,0.8654
ANOVA,PCA,GB,1,0.8759,0.71,0.8655
ANOVA,PCA,GB,2,0.8686,0.7022,0.8607
ANOVA,PCA,GB,3,0.8767,0.7116,0.876
ANOVA,PCA,GB,4,0.8757,0.7133,0.8718
ANOVA,PCA,GB,5,0.8899,0.7087,0.8766
ANOVA,PCA,XGB,1,0.8943,0.7171,0.8809
ANOVA,PCA,XGB,2,0.8771,0.7085,0.8658
ANOVA,PCA,XGB,3,0.8972,0.7241,0.8856
ANOVA,PCA,XGB,4,0.8905,0.7245,0.8808
ANOVA,PCA,XGB,5,0.8913,0.7178,0.8803
ANOVA,PCA,LGBM,1,0.8947,0.707,0.871
ANOVA,PCA,LGBM,2,0.8885,0.7123,0.8795
ANOVA,PCA,LGBM,3,0.8993,0.7168,0.8819
ANOVA,PCA,LGBM,4,0.9091,0.74,0.8969
ANOVA,PCA,LGBM,5,0.9063,0.731,0.8986
ANOVA,PCA,CAT,1,0.9089,0.7248,0.8908
ANOVA,PCA,CAT,2,0.8767,0.7136,0.8758
ANOVA,PCA,CAT,3,0.9142,0.7372,0.9077
ANOVA,PCA,CAT,4,0.8836,0.7224,0.8739
ANOVA,PCA,CAT,5,0.9091,0.7315,0.895
ANOVA,PCA,STACK,1,0.9096,0.7333,0.8883
ANOVA,PCA,STACK,2,0.9235,0.7528,0.9102
ANOVA,PCA,STACK,3,0.9122,0.7431,0.904
ANOVA,PCA,STACK,4,0.9133,0.7419,0.8926
ANOVA,PCA,STACK,5,0.9387,0.7586,0.9224
ANOVA,LDA,DT,1,0.8766,0.7085,0.862
ANOVA,LDA,DT,2,0.8916,0.7183,0.8815
ANOVA,LDA,DT,3,0.8707,0.6919,0.8567
ANOVA,LDA,DT,4,0.8793,0.7093,0.8679
ANOVA,LDA,DT,5,0.866,0.7033,0.8545
ANOVA,LDA,LR,1,0.8873,0.7149,0.8768
ANOVA,LDA,LR,2,0.8905,0.7234,0.8762
ANOVA,LDA,LR,3,0.9194,0.7448,0.9042
ANOVA,LDA,LR,4,0.9059,0.7305,0.8927
ANOVA,LDA,LR,5,0.8762,0.7014,0.8565
ANOVA,LDA,KNN,1,0.9405,0.7575,0.9188
ANOVA,LDA,KNN,2,0.9161,0.7345,0.9009
