accuracy,macro_f1,weighted_f1,precision,recall,FS,FE,CLF,fold
0.9048038783605112,0.7349848226200917,0.9226026461354543,0.6861633663662824,0.8529609975086297,VT,PCA,ET,10
0.8997576558713373,0.7113715781192852,0.9193350699562757,0.6643194533272488,0.8477019639045814,VT,PCA,ET,11
0.9024014100022031,0.7085614136157409,0.9209940187067785,0.658050479998173,0.8478469539232196,VT,PCA,ET,12
0.9046045384445913,0.7077120187557855,0.9214589364947898,0.6431745307301473,0.8571178125459615,VT,PCA,ET,13
0.9039224327897752,0.7014042789263538,0.9212769054363015,0.6392090779730514,0.8497276684282911,VT,PCA,ET,14
0.9076685764654032,0.7179746818851875,0.9254167008476215,0.6699787958219243,0.8479584321615378,VT,PCA,ET,15
0.8860982595285305,0.6975517458958771,0.9085375014586973,0.6379351371402977,0.8449869324374394,VT,PCA,GB,1
0.8737607402511567,0.6630010118461963,0.8982115961005078,0.6043614744675365,0.8246441303079564,VT,PCA,GB,2
0.8990967173386208,0.7025012154198249,0.9168971072415667,0.6375826496700727,0.8462333329293561,VT,PCA,GB,3
0.8929043631555752,0.6845310994449934,0.9114612096985197,0.6197375632386687,0.8332148367593152,VT,PCA,GB,4
0.9006170118995152,0.7021578944904647,0.9180793438482892,0.6373688412551697,0.8465980993076878,VT,PCA,GB,5
0.9010795329367702,0.6883789321888829,0.9194872123969113,0.6331180943396969,0.8296842535788957,VT,PCA,GB,6
0.8922670191672174,0.6741941494363999,0.909487880808907,0.6011749908225761,0.8352373825640089,VT,PCA,GB,7
0.9006389072482925,0.7043728561010311,0.921048598680657,0.6518681828477486,0.8337492022354334,VT,PCA,GB,8
0.9014984574702513,0.6855714611660662,0.9192429921717257,0.6145071570432279,0.8506973240813519,VT,PCA,GB,9
0.8959894226531512,0.7125335954754562,0.9162906434089853,0.655685313398289,0.8395764259724201,VT,PCA,GB,10
0.8997576558713373,0.7138839165502573,0.9189774259880382,0.6690271260631733,0.8449702696189219,VT,PCA,GB,11
0.8929279576999339,0.6896440984235612,0.9136867348250669,0.6403718195638599,0.8183887775950054,VT,PCA,GB,12
0.9114342366159948,0.6963327785920828,0.9268631781193826,0.6310122299003885,0.8442661862765872,VT,PCA,GB,13
0.8975319524019392,0.678282604397531,0.9159077141746563,0.6082994558310131,0.8429735914178078,VT,PCA,GB,14
0.8964301454385192,0.6980916706756961,0.9161216621229842,0.6380339592767098,0.8480319732114661,VT,PCA,GB,15
0.8982154659616656,0.707383806489174,0.9159513624832561,0.6416815236990706,0.8479044123992318,VT,PCA,XGB,1
0.9012998457810091,0.8287777912643799,0.918088825572477,0.7815110624608637,0.9520157215935374,VT,PCA,XGB,2
0.9189248733201145,0.7160836835461177,0.9319288754831692,0.6549076079945684,0.8394629481670378,VT,PCA,XGB,3
0.9072278536800352,0.7176851417251993,0.9224468562317572,0.6636822700277645,0.8370448777280292,VT,PCA,XGB,4
0.9160423093873953,0.7242580163756738,0.9308348244072316,0.6675498114957179,0.8490330992759385,VT,PCA,XGB,5
0.9180436219431592,0.8400860379531028,0.9316865376970047,0.7845115026054441,0.9627309087288907,VT,PCA,XGB,6
0.9087904824851288,0.7097090197189693,0.9227963299277421,0.6500933742131749,0.8423621497335643,VT,PCA,XGB,7
0.9068076668869796,0.7149315219070388,0.9247933856525988,0.6648510901074051,0.8392776350058148,VT,PCA,XGB,8
0.9167033935654474,0.7268951724252707,0.9315016779546115,0.6707706189419941,0.8541308180615451,VT,PCA,XGB,9
0.9136183340678713,0.7278635653113665,0.9285747458375612,0.6767714140408306,0.8385041747755074,VT,PCA,XGB,10
0.9131967393699053,0.8078366704813127,0.9288113892453911,0.7409820002572115,0.974723738673368,VT,PCA,XGB,11
0.9059264155100243,0.6979486488629507,0.9224060626596584,0.6415454621574797,0.8274371148387267,VT,PCA,XGB,12
0.9107732980832782,0.6947865417339034,0.9248875151621385,0.6231818963919437,0.8521772358411881,VT,PCA,XGB,13
0.9085500220361392,0.7078673343007846,0.9230600998266938,0.6448801577410539,0.8501573590166764,VT,PCA,XGB,14
0.9125165271044513,0.7156028904876447,0.9277434642140505,0.6536914858928814,0.8556406716286185,VT,PCA,XGB,15
0.9035029742233972,0.719003574408475,0.9202574151327615,0.6592409001678908,0.8438636045952901,VT,PCA,LGBM,1
0.9068076668869796,0.8298334702456225,0.9225523871242346,0.7772787170240081,0.9586644405535324,VT,PCA,LGBM,2
0.9222295659836969,0.7296925736447236,0.934867701623414,0.6680932241963187,0.8513008923180168,VT,PCA,LGBM,3
0.9149405024239753,0.7277825773260679,0.9282602834044528,0.6687365107332457,0.847700814881807,VT,PCA,LGBM,4
0.9250771264874394,0.8470616117641965,0.9380341122015246,0.7821715249116326,0.979008233170731,VT,PCA,LGBM,5
0.9162811191892487,0.7144606635540909,0.931111192562981,0.6546698259360786,0.8519063061457045,VT,PCA,LGBM,6
0.9151795549680546,0.7288921685212715,0.9279280087591982,0.6739718995477698,0.8495823162970014,VT,PCA,LGBM,7
0.9103326723948006,0.7225676412403128,0.9264893976077863,0.6732557297995729,0.8334041733448929,VT,PCA,LGBM,8
0.9241956809167033,0.7389516414820616,0.9376180161432262,0.6852120569464516,0.8567207113418864,VT,PCA,LGBM,9
0.9191273688849714,0.7412625327958124,0.9337784359650151,0.6938080795488406,0.8431458142790638,VT,PCA,LGBM,10
0.9204670632297863,0.7934130862107714,0.9349119763345487,0.7254317517640345,0.9744734690321843,VT,PCA,LGBM,11
0.9153998678122934,0.7220061409950145,0.9302372207742703,0.6741702738992241,0.8362160240044383,VT,PCA,LGBM,12
0.9138576779026217,0.7014719040912483,0.9284203054997479,0.6307758066514503,0.8544849479304866,VT,PCA,LGBM,13
0.9193477302776554,0.7178781913347672,0.93283972035578,0.6557601512585579,0.849927221210655,VT,PCA,LGBM,14
0.9191273688849714,0.7229082824150913,0.9341596883937362,0.6644354331486051,0.8566878651499812,VT,PCA,LGBM,15
0.898876404494382,0.724454530151457,0.9177241299664167,0.67020894478317,0.8488165020874389,VT,PCA,CAT,1
0.8918263934787398,0.6911681627614292,0.9107206334355163,0.6490925172565959,0.8238165268118255,VT,PCA,CAT,2
