FS,FE,CLF,n_ok_folds,n_total_folds,success_rate,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,precision_mean,precision_std,recall_mean,recall_std
ANOVA,SVD,LGBM,15,15,1.0,0.9447408747776035,0.005883428889890446,0.7747525341364584,0.012328602296523024,0.9532102684665825,0.004705660458045318,0.7294991042321747,0.01610784648930325,0.8613425612625208,0.005037392345204285
VT,PCA,STACK,15,15,1.0,0.9217822017710281,0.005103978641597172,0.77311152209064,0.05967966246204387,0.9345823606632905,0.004461979420404111,0.7176773025467622,0.056840305223300566,0.8926439586236725,0.06668418235668284
VT,SVD,STACK,15,15,1.0,0.9214737476062783,0.005877236269719607,0.7723408317945352,0.05892226867379595,0.9343440795151151,0.0049926475255564744,0.7171715329268769,0.056474708134293304,0.891958899572573,0.06503902417059317
VT,ICA,RF,15,15,1.0,0.9106922286529493,0.008742482427959561,0.7722984475675709,0.05557190241857264,0.9275463239229579,0.00698957067952477,0.7303178359646225,0.053964402724936994,0.880374880943376,0.05852513509459072
VT,LDA,CAT,15,15,1.0,0.9482220280931727,0.005740052075121227,0.7718908224757687,0.008945731101871317,0.9540798966234345,0.004576385253107463,0.7232856351213969,0.012413076803322839,0.8549730211041687,0.006669416111379974
ANOVA,LDA,CAT,15,15,1.0,0.94327230696677,0.010191403677952597,0.770628088974402,0.036928851270275585,0.950614026252977,0.007957645835553213,0.7168318764534034,0.03801397198059217,0.8680884019216598,0.03305495470401999
Chi2,LDA,DT,15,15,1.0,0.934179325592834,0.0065291893399468896,0.7705986531833837,0.020832325752704144,0.9431037607834641,0.005603219361278101,0.7241514459719965,0.01869525733198365,0.8851936502506549,0.06566545301939375
Chi2,LDA,CAT,15,15,1.0,0.9433747862614245,0.007815897084366426,0.7705387248584598,0.013743956531889236,0.9502947191640215,0.006661639903476593,0.7211495792321394,0.020148839807953678,0.8580484490429982,0.005949619362859292
ANOVA,LDA,GB,15,15,1.0,0.9336215298501893,0.011588940490410028,0.7700481906176109,0.015241420618637435,0.9443941159018805,0.008929546479926267,0.7262716225099372,0.017987236876411645,0.8592978656422291,0.004348926896610148
ANOVA,PCA,SVM,15,15,1.0,0.8462813201798117,0.012413553231689385,0.769995765260309,0.054526969340031615,0.8846951619203144,0.009047010643797952,0.7368886101385106,0.051398540968920554,0.8947558252832724,0.06358789610270346
ANOVA,SVD,SVM,15,15,1.0,0.8462813201798117,0.012413553231689385,0.769995765260309,0.054526969340031615,0.8846951619203144,0.009047010643797952,0.7368886101385106,0.051398540968920554,0.8947558252832724,0.06358789610270346
Chi2,PCA,CAT,15,15,1.0,0.9208272085424032,0.009134868310908567,0.7668927836788902,0.03230016103344755,0.9358106843826569,0.007290897718766761,0.7226212602051202,0.035043610762854914,0.8646346688086772,0.03260911344490833
Chi2,SVD,CAT,15,15,1.0,0.9208272085424032,0.009134868310908567,0.7668927836788902,0.03230016103344755,0.9358106843826569,0.007290897718766761,0.7226212602051202,0.035043610762854914,0.8646346688086772,0.03260911344490833
VT,LDA,DT,15,15,1.0,0.9385422448988774,0.007119750780574606,0.7659065472439074,0.018725595445347555,0.946311836447872,0.006083048925748028,0.7194593154017246,0.018508996457709585,0.854351421480969,0.034145756948066784
VT,ICA,ET,15,15,1.0,0.9082538506280211,0.007991017858567206,0.7652381641613142,0.05199505015191496,0.9259540639189956,0.006415947111130518,0.7178819423822934,0.05094649660289714,0.8831849049181226,0.053658988214549994
ANOVA,ICA,GB,15,15,1.0,0.9279368370487298,0.005236715363212324,0.7642620755547542,0.010542778967799215,0.9415322079144032,0.004300308098717904,0.7212254310875186,0.01453676724228497,0.8569279419455422,0.0040095168397187835
ANOVA,PCA,GB,15,15,1.0,0.9294644171129646,0.007122901522197529,0.7637083643067,0.01087975058934546,0.9423873329370666,0.005669414426373836,0.7187722706572672,0.01502212917027497,0.8557805705173869,0.004392448193640432
ANOVA,SVD,GB,15,15,1.0,0.9294644171129646,0.007122901522197529,0.7637083643067,0.01087975058934546,0.9423873329370666,0.005669414426373836,0.7187722706572672,0.01502212917027497,0.8557805705173869,0.004392448193640432
Chi2,ICA,GB,15,15,1.0,0.9182420232558056,0.00742406581140743,0.7636211720263764,0.012467331637363644,0.9338561342496882,0.00590386606796369,0.7206302103743241,0.013246609348229299,0.8723936524657867,0.044873365791316906
VT,LDA,LR,15,15,1.0,0.9295085444130726,0.008959562058207976,0.7620122210717812,0.010315505190725844,0.9397322306759519,0.006659029757198462,0.7161839066267015,0.009813874380738346,0.8549420140241969,0.006409805722258374
Chi2,PCA,XGB,15,15,1.0,0.9227955275748211,0.007265594843439048,0.759545313781338,0.014317051493114076,0.9371962667302177,0.0057788680944603175,0.7156562429460821,0.021489478829770363,0.8555949946906659,0.0034286701192446866
Chi2,SVD,XGB,15,15,1.0,0.9227955275748211,0.007265594843439048,0.759545313781338,0.014317051493114076,0.9371962667302177,0.0057788680944603175,0.7156562429460821,0.021489478829770363,0.8555949946906659,0.0034286701192446866
VT,ICA,CAT,15,15,1.0,0.9096493659751069,0.00789024882792193,0.7549454595592967,0.053843235019983345,0.925021006253756,0.006221881798217834,0.7019609907252825,0.05232796232730606,0.8761670791762515,0.05910452573865824
ANOVA,LDA,DT,15,15,1.0,0.9314473362811301,0.0067334223525215295,0.7547133760187681,0.013385128566511577,0.9416419546449096,0.005571119621376823,0.707892267818377,0.01791170144395012,0.8550267944845014,0.035350212246959486
Chi2,SVD,LR,15,15,1.0,0.8788320396305489,0.015101547143641618,0.754090269729032,0.04471751220752216,0.9058202184536565,0.011344548024753185,0.71166972273643,0.04310912349099051,0.8751398119003022,0.05040506310392255
VT,PCA,RF,15,15,1.0,0.9040967734929892,0.007273150964391445,0.7522416660514405,0.05079108321824948,0.922024606618045,0.0059123753591865304,0.6987938168455727,0.04579410599510083,0.8872532631428673,0.06209468693471834
Chi2,PCA,GB,15,15,1.0,0.911617468157803,0.01072837603173489,0.7511211491769638,0.011001074314884412,0.9295909072327704,0.00834293918628541,0.7074049001576377,0.01425723909898494,0.853150793268,0.004500277992893514
Chi2,SVD,GB,15,15,1.0,0.911617468157803,0.01072837603173489,0.7511211491769638,0.011001074314884412,0.9295909072327704,0.00834293918628541,0.7074049001576377,0.01425723909898494,0.853150793268,0.004500277992893514
