FS,CLF,Config,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
ANOVA,DT,FS_FE,0.9155096682124815,0.007953730986369006,0.7267303413859634,0.02014195226475603,0.9292117782841005,0.0066447777818979484
ANOVA,LR,FS_only,0.9167730605842845,0.007708043588253981,0.8014343661523433,0.05651648738516685,0.9334886770047356,0.0053067648240577685
ANOVA,LR,FS_FE,0.903318124400083,0.007838533083083122,0.7916279137121579,0.05567532738732227,0.9242157096130537,0.005444435420233728
ANOVA,KNN,FS_only,0.9168908132197935,0.007168889602986531,0.7962806708540728,0.0561218659006997,0.9334339106793216,0.005129276994416335
ANOVA,KNN,FS_FE,0.9157891939770282,0.00786529386740607,0.7953752744705136,0.0567177987620822,0.9327741833569629,0.005571502865849356
ANOVA,NB,FS_only,0.7382160899710144,0.003292439212180328,0.6647287187013903,0.04564555552924536,0.8061883375177834,0.002323450322132345
ANOVA,NB,FS_FE,0.729828701989674,0.00909763904682923,0.5881665357260697,0.01885545986911054,0.7948089521593705,0.007995128703202854
ANOVA,SVM,FS_only,0.8482349419795913,0.01353352337249503,0.7713501070386433,0.05447806766149261,0.8861665863241482,0.009820189488462597
ANOVA,SVM,FS_FE,0.8462813201798117,0.012413553231689385,0.769995765260309,0.054526969340031615,0.8846951619203144,0.009047010643797952
ANOVA,RF,FS_only,0.9900556569085263,0.0016189551457566939,0.8674041760687238,0.048938403238027645,0.9904258991770841,0.0014972325539697989
ANOVA,RF,FS_FE,0.9378958029318923,0.005680326405706513,0.8050104573114455,0.053495905366993966,0.949110431950904,0.004451299080951054
ANOVA,ET,FS_only,0.9836806861306445,0.00348435842184375,0.8323002852125685,0.007408606753785017,0.9845708373622771,0.0030120920646816342
ANOVA,ET,FS_FE,0.9368236946706723,0.005970660948754338,0.805801668528245,0.05650106175913578,0.9480938050804475,0.004532186565828013
ANOVA,GB,FS_only,0.9866037491763352,0.00238091013724356,0.8432333396497937,0.0053673178114673255,0.9879822341899805,0.0017528062182751688
ANOVA,GB,FS_FE,0.9294644171129646,0.007122901522197529,0.7637083643067,0.01087975058934546,0.9423873329370666,0.005669414426373836
ANOVA,XGB,FS_only,0.9865008750209933,0.00234805039838779,0.8554761278999998,0.0388395998827872,0.9869777187489109,0.0023374386422128444
ANOVA,XGB,FS_FE,0.9424787988130745,0.006718203756849979,0.7872338408873278,0.043782307352428586,0.951295341943982,0.005398898880894504
ANOVA,LGBM,FS_only,0.9875732324975655,0.0022561367770274512,0.8472252166628206,0.019096767752081162,0.9882394105521447,0.0021103956790081402
ANOVA,LGBM,FS_FE,0.9447408747776035,0.005883428889890446,0.7747525341364584,0.012328602296523024,0.9532102684665825,0.004705660458045318
ANOVA,CAT,FS_only,0.987044433122947,0.0026523412247332913,0.8386300376898309,0.006101767228419494,0.9876502394841756,0.0025370615128436917
ANOVA,CAT,FS_FE,0.9376019391932018,0.004562300552522877,0.7864890791845921,0.041189802840992225,0.9475724182938471,0.0037924262289105266
ANOVA,STACK,FS_only,0.9893652462330208,0.0017990010655213316,0.8908719229529005,0.06076726829791911,0.9896382309002579,0.0017221980293289263
ANOVA,STACK,FS_FE,0.9504694845025755,0.004962796047406073,0.8285179434966954,0.06257222049103064,0.9574782690291355,0.004064678589063386
Chi2,DT,FS_only,0.9790976643569581,0.0037381228568551216,0.8339583976505597,0.010626131309804578,0.981836025795405,0.0027831565098581
Chi2,DT,FS_FE,0.900482946986425,0.009955619131472937,0.7177284401452849,0.02088536987153111,0.9171669741528761,0.007754731515409468
Chi2,LR,FS_only,0.6872749864525561,0.024908506358972397,0.6018598937431289,0.04170104847019651,0.7456687142834201,0.024210435288907813
Chi2,LR,FS_FE,0.8788760924897077,0.015016936021669465,0.7472351286670259,0.03827116563192133,0.9058374142171655,0.011342605300496264
Chi2,KNN,FS_only,0.9009241228906147,0.008825146438027976,0.7862221797693104,0.05482886740342277,0.9209841473928494,0.0065625387180920855
Chi2,KNN,FS_FE,0.9002041203194889,0.010112380908354212,0.786696027454132,0.05244871401854049,0.9206474047967121,0.0077267490805486986
Chi2,NB,FS_only,0.7413449790049013,0.00546665254457335,0.6657874279645866,0.04691339891658022,0.8085354727784667,0.005066694327689205
Chi2,NB,FS_FE,0.7165359920533315,0.016400903665150256,0.579741581349438,0.016599122898423642,0.7799981991473238,0.015008333178668705
Chi2,SVM,FS_only,0.7626293164705812,0.029108052235326014,0.6749974168033535,0.049746674320098196,0.8234217463390178,0.02003995065729426
Chi2,SVM,FS_FE,0.8289182276852816,0.02153869057174992,0.7413344074909162,0.04908530146964396,0.8714164373748264,0.015532904936886725
Chi2,RF,FS_only,0.990099687111744,0.0018873950858620974,0.8676797674520389,0.04939137653488309,0.9903963328591293,0.0018045696192029344
Chi2,RF,FS_FE,0.9122931557081659,0.009425361804349863,0.7812850663573373,0.04582877445010131,0.9309569864543138,0.007038360624836135
Chi2,ET,FS_only,0.9803170103427284,0.0032138491578928116,0.8507058487303036,0.049708648604968604,0.9814461640174758,0.00293099116202002
Chi2,ET,FS_FE,0.9137178972192519,0.010308211480983638,0.7817229832162607,0.04592023295749506,0.9316645533670618,0.00781770250411024
Chi2,GB,FS_only,0.9867946578456085,0.00269968741408243,0.8417025509542804,0.004796945058111903,0.9879313946642045,0.002209409120900978
Chi2,GB,FS_FE,0.911617468157803,0.01072837603173489,0.7511211491769638,0.011001074314884412,0.9295909072327704,0.00834293918628541
Chi2,XGB,FS_only,0.9861336610547579,0.002881158598249891,0.8530870347545968,0.036898867210451256,0.9866185752545278,0.0028227271663538605
Chi2,XGB,FS_FE,0.9227955275748211,0.007265594843439048,0.759545313781338,0.014317051493114076,0.9371962667302177,0.0057788680944603175
Chi2,LGBM,FS_only,0.792079528308485,0.2811157309050067,0.6649741261177508,0.2605986195077484,0.8117335082091152,0.2683599089727243
Chi2,LGBM,FS_FE,0.7851296727352547,0.2875737931629393,0.6396807099403369,0.2547711583590685,0.8021207008905973,0.28321519979053705
Chi2,CAT,FS_only,0.9877347823037554,0.002919291325883093,0.8346656320924464,0.012436115664093944,0.9882913162500228,0.0027605875797903283
Chi2,CAT,FS_FE,0.9208272085424032,0.009134868310908567,0.7668927836788902,0.03230016103344755,0.9358106843826569,0.007290897718766761
Chi2,STACK,FS_only,0.9890273717104908,0.0024273320221935655,0.8901660571574566,0.060868704930148225,0.9893102817343447,0.002311877117038995
Chi2,STACK,FS_FE,0.9328868656486189,0.007880141654123561,0.8156682275469763,0.05781793411531785,0.9446241967172014,0.00617863319727479
